,Message,Timestamp,Value,Geometry
182,sailing filled start,2019-03-13 05:51:49.557445,5000.0,POINT (4.18055556 52.18664444)
183,sailing filled stop,2019-03-13 06:26:44.723203,5000.0,POINT (4.25222222 52.11428333)
184,sailing filled start,2019-03-13 06:26:44.723203,5000.0,POINT (4.25222222 52.11428333)
185,sailing filled stop,2019-03-13 06:26:44.723203,5000.0,POINT (4.25222222 52.11428333)
186,unloading start,2019-03-13 06:26:44.723203,5000.0,POINT (4.25222222 52.11428333)
187,unloading stop,2019-03-13 07:22:18.056536,0.0,POINT (4.25222222 52.11428333)
188,sailing empty start,2019-03-13 07:22:18.056536,0.0,POINT (4.25222222 52.11428333)
189,sailing empty stop,2019-03-13 07:53:43.705719,0.0,POINT (4.18055556 52.18664444)
190,sailing empty start,2019-03-13 07:53:43.705719,0.0,POINT (4.18055556 52.18664444)
191,sailing empty stop,2019-03-13 07:53:43.705719,0.0,POINT (4.18055556 52.18664444)
